,,,Stand,Hit,Optimal,Optimal Return
0,1,True,"tensor(-1.0592, grad_fn=<SelectBackward0>)","tensor(-0.0630, grad_fn=<SelectBackward0>)",Hit,-0.0630452111363411
0,1,False,"tensor(-0.7058, grad_fn=<SelectBackward0>)","tensor(-0.0168, grad_fn=<SelectBackward0>)",Hit,-0.01679808646440506
0,2,True,"tensor(-0.8198, grad_fn=<SelectBackward0>)","tensor(0.0909, grad_fn=<SelectBackward0>)",Hit,0.09091787785291672
0,2,False,"tensor(-0.5619, grad_fn=<SelectBackward0>)","tensor(0.1681, grad_fn=<SelectBackward0>)",Hit,0.1681271195411682
0,3,True,"tensor(-0.8237, grad_fn=<SelectBackward0>)","tensor(0.1118, grad_fn=<SelectBackward0>)",Hit,0.11179893463850021
0,3,False,"tensor(-0.6283, grad_fn=<SelectBackward0>)","tensor(0.2519, grad_fn=<SelectBackward0>)",Hit,0.25191229581832886
0,4,True,"tensor(-0.9094, grad_fn=<SelectBackward0>)","tensor(0.1346, grad_fn=<SelectBackward0>)",Hit,0.13455504179000854
0,4,False,"tensor(-0.7312, grad_fn=<SelectBackward0>)","tensor(0.2917, grad_fn=<SelectBackward0>)",Hit,0.29169267416000366
0,5,True,"tensor(-1.0078, grad_fn=<SelectBackward0>)","tensor(0.1295, grad_fn=<SelectBackward0>)",Hit,0.12953513860702515
0,5,False,"tensor(-0.8315, grad_fn=<SelectBackward0>)","tensor(0.2707, grad_fn=<SelectBackward0>)",Hit,0.27072882652282715
0,6,True,"tensor(-1.1028, grad_fn=<SelectBackward0>)","tensor(0.0801, grad_fn=<SelectBackward0>)",Hit,0.08006935566663742
0,6,False,"tensor(-0.9150, grad_fn=<SelectBackward0>)","tensor(0.2201, grad_fn=<SelectBackward0>)",Hit,0.2201041579246521
0,7,True,"tensor(-1.1910, grad_fn=<SelectBackward0>)","tensor(0.0121, grad_fn=<SelectBackward0>)",Hit,0.012062899768352509
0,7,False,"tensor(-0.9941, grad_fn=<SelectBackward0>)","tensor(0.1461, grad_fn=<SelectBackward0>)",Hit,0.14611387252807617
0,8,True,"tensor(-1.2667, grad_fn=<SelectBackward0>)","tensor(-0.0624, grad_fn=<SelectBackward0>)",Hit,-0.06240994483232498
0,8,False,"tensor(-1.0694, grad_fn=<SelectBackward0>)","tensor(0.0649, grad_fn=<SelectBackward0>)",Hit,0.06492244452238083
0,9,True,"tensor(-1.3434, grad_fn=<SelectBackward0>)","tensor(-0.1529, grad_fn=<SelectBackward0>)",Hit,-0.15291732549667358
0,9,False,"tensor(-1.1428, grad_fn=<SelectBackward0>)","tensor(-0.0186, grad_fn=<SelectBackward0>)",Hit,-0.018556959927082062
0,10,True,"tensor(-1.4201, grad_fn=<SelectBackward0>)","tensor(-0.2492, grad_fn=<SelectBackward0>)",Hit,-0.24918994307518005
0,10,False,"tensor(-1.2186, grad_fn=<SelectBackward0>)","tensor(-0.1135, grad_fn=<SelectBackward0>)",Hit,-0.11346221715211868
1,1,True,"tensor(-1.1387, grad_fn=<SelectBackward0>)","tensor(-0.1831, grad_fn=<SelectBackward0>)",Hit,-0.18307262659072876
1,1,False,"tensor(-0.7891, grad_fn=<SelectBackward0>)","tensor(-0.1740, grad_fn=<SelectBackward0>)",Hit,-0.17396485805511475
1,2,True,"tensor(-0.8146, grad_fn=<SelectBackward0>)","tensor(0.0253, grad_fn=<SelectBackward0>)",Hit,0.02529173344373703
1,2,False,"tensor(-0.5709, grad_fn=<SelectBackward0>)","tensor(0.0566, grad_fn=<SelectBackward0>)",Hit,0.056566350162029266
1,3,True,"tensor(-0.7620, grad_fn=<SelectBackward0>)","tensor(0.0538, grad_fn=<SelectBackward0>)",Hit,0.05376260727643967
1,3,False,"tensor(-0.5724, grad_fn=<SelectBackward0>)","tensor(0.1643, grad_fn=<SelectBackward0>)",Hit,0.1642637848854065
1,4,True,"tensor(-0.8237, grad_fn=<SelectBackward0>)","tensor(0.0808, grad_fn=<SelectBackward0>)",Hit,0.08083748072385788
1,4,False,"tensor(-0.6532, grad_fn=<SelectBackward0>)","tensor(0.2273, grad_fn=<SelectBackward0>)",Hit,0.22730547189712524
1,5,True,"tensor(-0.9147, grad_fn=<SelectBackward0>)","tensor(0.0828, grad_fn=<SelectBackward0>)",Hit,0.08278720825910568
